id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,location
8802464,1bd in So.Austin Home HUGE BKYD!,46119056,Katelyn,,78745,30.19338631331085,-97.78113543574405,Private room,40,1,1,2015-10-13,1,2,363,POINT(-97.78113543574405 30.19338631331085)
7689262,Bedroom (queen size bed)/ bathroom,40376317,Jennifer,,78745,30.19937909197672,-97.77247555331837,Private room,65,1,2,2015-10-27,2,1,70,POINT(-97.77247555331837 30.19937909197672)
4224100,Fantastic house: huge kitchen&porch,1575610,,,78745,30.21365714359401,-97.8091220433087,Entire home/apt,250,2,8,2015-08-31,0.65,1,250,POINT(-97.8091220433087 30.21365714359401)
1886324,Newly Contructed Abode for F1!,9813629,Ricardo,,78745,30.211995349756037,-97.78791150932923,Entire home/apt,1250,3,0,,,1,365,POINT(-97.78791150932923 30.211995349756037)
7327861,Charming Apt- Close to Everything!,34456311,Marisa,,78745,30.223507581830624,-97.8036219998115,Entire home/apt,149,2,6,2015-10-26,1.55,1,9,POINT(-97.8036219998115 30.223507581830624)
5656676,Peaceful Private Room (2) and Bath,9906171,Eric,,78745,30.219681003717547,-97.78827238091753,Private room,150,1,0,,,1,365,POINT(-97.78827238091753 30.219681003717547)
315378,Large Suite in Eco Nature Retreat,681301,Coleman,,78745,30.206379421276903,-97.77140807685883,Private room,36,2,27,2015-10-25,0.61,4,364,POINT(-97.77140807685883 30.206379421276903)
8900584,Hip South Austin Home for SXSW/F1,11247270,Andrea,,78745,30.20780868184342,-97.79656435244199,Entire home/apt,550,1,1,2015-10-26,1,1,33,POINT(-97.79656435244199 30.20780868184342)
8343038,Home away from home in South Austin,43976820,Helga,,78745,30.19984119124515,-97.80332163731067,Private room,50,1,7,2015-11-02,5.68,1,364,POINT(-97.80332163731067 30.19984119124515)
2084252,Private Vintage Deluxe,681301,Coleman,,78745,30.208664805719938,-97.77219447888538,Private room,44,1,21,2015-10-14,1.04,4,364,POINT(-97.77219447888538 30.208664805719938)
5392402,"#SXSW Master Suite in Charming 3/2",18827179,Brianne,,78745,30.19230378658138,-97.7897113216474,Private room,95,2,0,,,1,236,POINT(-97.7897113216474 30.19230378658138)
4902618,South Austin gem!  S. Congress 3 bd,5920488,Jon&Sarah,,78745,30.213392703492843,-97.76747259365347,Entire home/apt,225,1,4,2015-10-19,0.82,1,278,POINT(-97.76747259365347 30.213392703492843)
139693,Eco nature retreat in community,681301,Coleman,,78745,30.207473561256293,-97.77219585902226,Private room,24,2,67,2015-10-04,1.47,4,365,POINT(-97.77219585902226 30.207473561256293)
6374770,South Austin Chicken Coop,11774215,Amira & Benji,,78745,30.204178425433017,-97.78700080846892,Private room,40,1,2,2015-05-25,0.35,1,41,POINT(-97.78700080846892 30.204178425433017)
771437,Stay in Austin for F1 and FFF Fest,4070275,Daniel,,78745,30.22356039013777,-97.78429500685063,Private room,100,1,1,2015-10-12,1,1,339,POINT(-97.78429500685063 30.22356039013777)
